Program,date,Currency,Estimated Cost to Develop,Total Life Cycle Cost,Annual Maintenance & Operational Costs,Monies Spent to Date,Estimated Schedule,Headline,Notes,url
California's Disability Insurance Automation Upgrade,2007-11-01T00:00:00Z,US$,,3.30E+07,3700000,,2011-05-01T00:00:00Z,,Procurement issues cause schedule slip but project cost reduced.,
California's Disability Insurance Automation Upgrade,2009-11-01T00:00:00Z,US$,5.20E+07,1.19E+08,6900000,,2013-01-01T00:00:00Z,,"California Employment Development Department recognized that it had underestimated the complexity and effort required to create the system, so the project is rescoped. Deloitte will be paid $52 million to build system. Development now begins in earnest.",
California's Disability Insurance Automation Upgrade,2011-11-01T00:00:00Z,US$,5.90E+07,1.58E+08,8800000,,2013-06-01T00:00:00Z,,Project scope changes increase life cycle costs and schedule. Development costs climb another $7 million.,
California's Disability Insurance Automation Upgrade,2012-11-01T00:00:00Z,US$,5.90E+07,1.58E+08,8800000,,2012-11-01T00:00:00Z,,"Launched ""ahead"" of schedule. ",
California's Unemployment Insurance Modernization,2003-10-01T00:00:00Z,US$,3.80E+07,,,,2006-11-01T00:00:00Z,,"Califonia's Employment Development Department originally planned two system developments: the Call Center Network Platform and Application Upgrade
(CCNPAU), meant to TK, and the Continued Claims Redesign (CCR), intended to TK. The first of these was targeted for completion in 2006.",
California's Unemployment Insurance Modernization,2003-10-01T00:00:00Z,US$,5.80E+07,,,,2008-06-01T00:00:00Z,,"Califonia's Employment Development Department originally planned two system developments: the Call Center Network Platform and Application Upgrade
(CCNPAU), meant to TK, and the Continued Claims Redesign (CCR), intended to TK. The second had a larger budget and timeline.",
California's Unemployment Insurance Modernization,2006-05-01T00:00:00Z,US$,4.80E+07,,,,2010-04-01T00:00:00Z,,"Three years later, just a few months ahead of CCNPAU's original completion date, both projects were merged into one. Both projects still maintained separate schedules. CCNPAU completion was pushed back four years (longer than the initial scheduled development time.",
California's Unemployment Insurance Modernization,2006-05-01T00:00:00Z,US$,6.50E+07,,,,2011-09-01T00:00:00Z,,"Three years later, just a few months ahead of CCNPAU's original completion date, both projects were merged into one. Both projects still maintained separate schedules. CCR also got an increased estimate and delayed launch date.",
California's Unemployment Insurance Modernization,2007-08-01T00:00:00Z,US$,5.60E+07,,,,2009-09-01T00:00:00Z,,"A year later, due to changes in procurement, the cost of CCNPAU had risen yet again, but the timeline was reduced.",
California's Unemployment Insurance Modernization,2007-08-01T00:00:00Z,US$,7.10E+07,,,,2012-06-01T00:00:00Z,,"A year later, due to changes in procurement, the cost of CCNPAU had risen yet again, but the timeline was reduced. Meanwhile, CCR costs and delays continued to mount.",
California's Unemployment Insurance Modernization,2009-09-01T00:00:00Z,US$,7.10E+07,,,,2011-01-01T00:00:00Z,,"Another two years into the project, CCNPAU costs and delays were growing again.",
California's Unemployment Insurance Modernization,2009-09-01T00:00:00Z,US$,8.70E+07,,,,2012-05-01T00:00:00Z,,"Another two years into the project, CCNPAU costs and delays were growing again. But now CCR saw a schedule reduction! (The completion date was only moved up a single month, though).",
California's Unemployment Insurance Modernization,2011-05-01T00:00:00Z,US$,8.10E+07,,,,2011-05-01T00:00:00Z,,"CCNPAU was rolled out in May 2011, missing it's 2009 deadline by four months (and the original deadline by over four years). It wasn't a smooth launch; complaints about call wait times were rampant.",
California's Unemployment Insurance Modernization,2012-04-01T00:00:00Z,US$,1.06E+08,,,,2013-05-01T00:00:00Z,,"CCNPAU was rolled out in May 2011, missing it's 2009 deadline by four months (and the original deadline by over four years). It wasn't a smooth launch; complaints about call wait times were rampant. And CCR's launch was delayed by another year.",
California's Unemployment Insurance Modernization,2013-08-31T17:00:00Z,US$,1.06E+08,,,,2013-08-31T17:00:00Z,,"CCNPAU was rolled out in May 2011, missing it's 2009 deadline by four months (and the original deadline by over four years). It wasn't a smooth launch; complaints about call wait times were rampant. CCR was rolled out over Labor Day weekend, also four months off of its final deadline (but over five years late according to the original schedule). By the way, the launch was a total disaster LINK TK. Since launch, the state has spent approximately $4 million on upgrading and fixing CCR.",
Queensland's Health Payroll Replacement System,2007-12-05T00:00:00Z,AU$,9.80E+07,,,,2008-07-31T00:00:00Z,,Fixed price contract to IBM was for $6.19 million for new payroll system at Queensland Health. This is part of a larger $98 million project contract to IBM to provided Queensland-wide human resources and financial solution.,
Queensland's Health Payroll Replacement System,2008-01-18T00:00:00Z,AU$,9.80E+07,,,,2008-09-01T00:00:00Z,,"Same estimated project cost, but an increase in schedule.",
Queensland's Health Payroll Replacement System,2008-06-18T00:00:00Z,AU$,1.00E+08,,,,2008-11-18T00:00:00Z,,Slight increase in project cost and schedule.,
Queensland's Health Payroll Replacement System,2008-10-01T00:00:00Z,AU$,1.00E+08,,,,2008-11-18T00:00:00Z,,"Payroll system not close to being completed. IBM says cost to provide Queensland-wide human resources and financial solution is now $181 million, so that initiative is scrapped, with emphasis placed on getting Queensland health payroll system to work. IBM has spent $31 million of $98 million, including monies spent on payroll system.",
Queensland's Health Payroll Replacement System,2008-11-11T00:00:00Z,AU$,1.00E+08,,,,2008-11-30T00:00:00Z,,"Same estimated project cost, but an increase in schedule.",
Queensland's Health Payroll Replacement System,2008-11-28T00:00:00Z,AU$,1.00E+08,,,,2008-12-23T00:00:00Z,,"Same estimated project cost, but an increase in schedule.",
Queensland's Health Payroll Replacement System,2009-06-30T00:00:00Z,AU$,1.00E+08,,,,2009-11-06T00:00:00Z,,"Project cost is increased, and scheduled lengthened. IBM paided $9 million for changes to payroll stystem changes, brings cost to $17 million.",
Queensland's Health Payroll Replacement System,2009-08-31T00:00:00Z,AU$,1.00E+08,,,,2009-11-20T00:00:00Z,,"Same estimated project cost, but an increase in schedule.",
Queensland's Health Payroll Replacement System,2009-11-12T00:00:00Z,AU$,1.00E+08,,,,2010-03-22T00:00:00Z,,"Same estimated project cost, but an increase in schedule.",
Queensland's Health Payroll Replacement System,2010-03-14T00:00:00Z,AU$,1.02E+08,,,,2010-03-24T00:00:00Z,,"Goes live with disastrous effects,  over 18,000 staff affected, 1800 not paid or underpaid; $14.5 million total in salaries glitches.  IBM cost for payroll system now is $25 million (it has been paid $22 million); government says total cost of payroll system including its own amounts to $102 million.",
Queensland's Health Payroll Replacement System,2010-11-01T00:00:00Z,AU$,3.11E+08,,,,2011-07-01T00:00:00Z,,Govt decides to spend another $209 million to try to fix system,
Queensland's Health Payroll Replacement System,2011-07-01T00:00:00Z,AU$,3.11E+08,,,,2011-07-01T00:00:00Z,,Govt claims payroll system is stabilized,
Queensland's Health Payroll Replacement System,2012-06-01T00:00:00Z,AU$,5.30E+08,1.25E+09,,,2017-07-03T00:00:00Z,,"Another $220.5 million needed to fix, and $837 million to operate for next 5 years; $91 million in salary overpayments still owed (note, a KPMG report says the development cost is closer to $515 million with another $25 million needed to see what other fixes are needed.) Estimate of total life cycle cost is at least $1.25 billion to $1.35 billion",
UK's FiReControl System,2004-03-01T00:00:00Z,£,1.20E+08,,,,2009-10-01T00:00:00Z,,"FiReControl was to replacing 46 local control rooms with a network of nine purpose-built regional control centers using a national computer system to handle calls, mobilise equipment and manage incidents. Initial rollout was due in October 2007, and final by October 2009",
UK's FiReControl System,2007-06-01T00:00:00Z,£,3.40E+08,,,,2009-10-01T00:00:00Z,,Increase to the project cost but schedule unchanged.,
UK's FiReControl System,2008-07-01T00:00:00Z,£,3.80E+08,,,,2009-07-01T00:00:00Z,,"FiReControl was to replacing 46 local control rooms with a network of nine purpose-built regional control centers using a national computer system to handle calls, mobilize equipment and manage incidents. Initial rollout was due in October 2007, and final by October 2009.",
UK's FiReControl System,2008-11-01T00:00:00Z,£,3.80E+08,,,,2010-03-01T00:00:00Z,,"Same project cost, another increase to the schedule.",
UK's FiReControl System,2009-05-01T00:00:00Z,£,3.80E+08,,,,2010-05-01T00:00:00Z,,"Same project cost, but an increase to the schedule.",
UK's FiReControl System,2010-12-01T00:00:00Z,£,6.35E+08,4.69E+08,,2.50E+08,2015-12-01T00:00:00Z,,"Project terminated in December 2010 after spending £250 million and not impending much of value; another £219 million in already committed costs, so a total spend of £469 million; another £180 million could be spent, the May 2015 date was a best guess, since the program was still estimated to be at least 5 years from completion.",
